Feature,Importance
password_type,0.11280699742991791
password_strength_check,0.0992113566187638
telnet_enabled,0.08775528986951864
weak_snmp,0.07200220384596079
acl_count,0.0716870162664465
min_password_length,0.05839918544332784
unused_services_disabled,0.054802185317152315
ssh_enabled,0.05245944484356816
local_usernames,0.0500648293551411
interface_acl_count,0.04853948724690226
snmpv3_only,0.04198393534094355
syslog_servers,0.03517958102723852
has_strict_acls,0.03289279939831044
https_enabled,0.02781044056762316
snmp_acl,0.027633511217889282
ssh_version,0.027503896958067584
http_enabled,0.02250096020982411
logging_enabled,0.021815121463186374
aaa_new_model,0.02076120628597094
tcp_keepalives,0.018358055466548395
control_plane_protection,0.015832495827698086
